Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
57;ALEX;Alexander & Baldwin, Inc.;18,41;1,99%;4,85;4,00;4,25;C+;B-;C+;B+;A+
58;SIEGY;Siemens Aktiengesellschaft;134,33;0,73%;4,84;3,66;4,00;C-;A-;A+;B+;A+
59;TKOMY;Tokio Marine Holdings, Inc.;41,43;-2,13%;4,84;3,50;5,00;A-;B-;B+;B+;A+
60;MTZ;MasTec, Inc.;186,19;2,44%;4,84;4,00;4,42;C+;A+;B-;A;A
61;PBR;Petróleo Brasileiro S.A. - Petrobras;12,6;-0,40%;4,84;3,83;4,20;A+;C;A+;C;A-
62;NGD;New Gold Inc.;4,41;-0,45%;4,83;3,60;3,90;A-;A+;A-;A-;B+
63;QXO;QXO, Inc.;22,19;1,32%;4,83;3,66;4,85;C-;A+;A-;A;A
64;URBN;Urban Outfitters, Inc.;75,61;3,05%;4,83;4,00;3,57;C+;C;C+;A+;A+
65;ALAB;Astera Labs, Inc.;122,23;0,45%;4,83;3,87;4,35;C-;A+;B-;A;B+
66;OPFI;OppFi Inc.;11,27;0,18%;4,82;3,81;4,00;A-;A-;D;A+;B+
67;HST;Host Hotels & Resorts, Inc.;16,55;0,73%;4,82;4,00;4,11;B+;A-;B+;B+;A
68;XOM;Exxon Mobil Corporation;110,4;-0,35%;4,82;4,07;3,88;D+;C-;A+;C+;A-
69;SE;Sea Limited;157,71;-0,10%;4,81;3,70;4,42;D;A+;B+;A;B+
70;UAMY;United States Antimony Corporation;3,35;-6,94%;4,81;4,00;4,75;D;B-;D+;A+;B
71;KD;Kyndryl Holdings, Inc.;39,12;2,11%;4,81;4,33;4,50;A+;A;B+;B;A+
72;MOS;The Mosaic Company;36,9;-1,31%;4,81;4,00;4,05;C;B;B+;B+;A+
73;B;Barrick Mining Corporation;21,74;0,93%;4,80;4,50;4,00;A-;A-;A+;B-;A-
74;IFS;Intercorp Financial Services Inc.;36,35;-1,36%;4,80;4,00;4,33;A-;A+;D;A;B+
75;OPRT;Oportun Financial Corporation;6,36;0,95%;4,80;4,00;4,00;A+;B;C+;A+;B-
