Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.;Zacks_Rank;Zacks_Rating;Last_Updated
42;RRGB;Red Robin Gourmet Burgers, Inc.;6,79;-2,58%;4,89;3,50;4,50;A-;A-;D;A+;A;3;Hold;2025-07-27 12:25:21
43;VTMX;Corporación Inmobiliaria Vesta, S.A.B. de C.V.;26,64;0,45%;4,89;5,00;4,00;C-;A-;A-;B+;A+;5;Strong Sell;2025-07-27 12:25:24
44;SHG;Shinhan Financial Group Co., Ltd.;50,91;1,17%;4,89;4,00;5,00;A-;C+;A+;A+;A-;1;Strong Buy;2025-07-27 12:25:27
45;GASS;StealthGas Inc.;6,72;0,60%;4,88;4,00;4,00;A+;C;A-;A-;A+;NR;Not Rated;2025-07-27 12:25:30
46;ORANY;Orange S.A.;15,68;0,51%;4,88;3,50;4,00;A-;C+;A;A-;A;2;Buy;2025-07-27 12:25:33
47;SCHW;The Charles Schwab Corporation;97,06;0,58%;4,88;3,83;4,25;D;A;A+;A;A+;1;Strong Buy;2025-07-27 12:25:36
48;UBER;Uber Technologies, Inc.;91,29;0,46%;4,88;3,96;4,37;D+;A;A+;B+;A-;3;Hold;2025-07-27 12:25:39
49;BCS;Barclays PLC;19,62;1,13%;4,87;4,00;3,50;B;A;A+;A+;B+;2;Buy;2025-07-27 12:25:42
50;PBR.A;Petróleo Brasileiro S.A. - Petrobras;11,53;-0,52%;4,87;3,50;4,45;A+;C+;A+;C;A;NR;Not Rated;2025-07-27 12:25:44
51;CLS;Celestica Inc.;170,22;3,81%;4,87;3,57;4,28;C;A-;C;A;B+;2;Buy;2025-07-27 12:25:47
52;EADSY;Airbus SE;53,05;-1,19%;4,87;4,33;3,80;D+;A;A+;A;A+;2;Buy;2025-07-27 12:25:50
53;POET;POET Technologies Inc.;6,23;-0,16%;4,86;4,50;5,00;B-;A;A+;A;A+;N/A;N/A;2025-07-27 12:25:53
54;VCISY;Vinci SA;36,61;0,52%;4,86;3,50;5,00;A-;B;A+;B+;A-;2;Buy;2025-07-27 12:25:56
55;AMZN;Amazon.com, Inc.;231,44;-0,34%;4,85;4,13;4,65;D;A-;A+;B+;B-;1;Strong Buy;2025-07-27 12:25:59
56;NEM;Newmont Corporation;65,75;6,89%;4,85;3,72;4,13;C;C;A+;B;A-;3;Hold;2025-07-27 12:26:02
57;ALEX;Alexander & Baldwin, Inc.;18,41;1,99%;4,85;4,00;4,25;C+;B-;C+;B+;A+;3;Hold;2025-07-27 12:26:05
58;SIEGY;Siemens Aktiengesellschaft;134,33;0,73%;4,84;3,66;4,00;C-;A-;A+;B+;A+;2;Buy;2025-07-27 12:26:08
59;TKOMY;Tokio Marine Holdings, Inc.;41,43;-2,13%;4,84;3,50;5,00;A-;B-;B+;B+;A+;2;Buy;2025-07-27 12:26:11
60;MTZ;MasTec, Inc.;186,19;2,44%;4,84;4,00;4,42;C+;A+;B-;A;A;1;Strong Buy;2025-07-27 12:26:14
61;PBR;Petróleo Brasileiro S.A. - Petrobras;12,6;-0,40%;4,84;3,83;4,20;A+;C;A+;C;A-;3;Hold;2025-07-27 12:26:17
62;NGD;New Gold Inc.;4,41;-0,45%;4,83;3,60;3,90;A-;A+;A-;A-;B+;3;Hold;2025-07-27 12:26:20
